index,entry_timestamp,entry_price,exit_timestamp,exit_price,signal,remarks,profit_per_btc,capital,#units,profit_per_capital,tnc_cost,profit_after_tnc,cumulative_profit,roe_%
120,2019-12-03 12:00:00,146.98,2019-12-12 01:00:00,141.61,1,Algo_Exit,-5.369999999999976,1000,6.803646754660498,-36.53558307252671,1.5,-38.03558307252671,-38.03558307252671,-3.803558307252671
843,2019-12-18 13:30:00,122.06,2020-02-12 00:30:00,248.1,1,Algo_Exit,126.03999999999999,1000,8.192692118630182,1032.6069146321481,1.5,1031.1069146321481,993.0713315596214,103.1106914632148
5900,2020-04-01 22:00:00,133.26,2020-04-16 00:00:00,149.3,1,Algo_Exit,16.04000000000002,1000,7.5041272699984995,120.36620141077609,1.5,118.86620141077609,1111.9375329703976,11.886620141077609
9008,2020-06-05 16:00:00,241.72,2020-06-11 16:30:00,225.61,1,Algo_Exit,-16.109999999999985,1000,4.137018037398643,-66.64736058249207,1.5,-68.14736058249207,1043.7901723879054,-6.814736058249207
9672,2020-06-19 12:00:00,231.57,2020-06-25 03:30:00,229.71,1,Algo_Exit,-1.8599999999999852,1000,4.318348663471089,-8.032128514056161,1.5,-9.532128514056161,1034.2580438738491,-0.9532128514056162
12166,2020-08-10 11:00:00,392.14,2020-08-21 21:00:00,390.23,1,Algo_Exit,-1.9099999999999682,1000,2.5501096547151527,-4.870709440505861,1.5,-6.370709440505861,1027.8873344333433,-0.6370709440505861
14605,2020-09-30 06:30:00,355.48,2020-10-28 17:00:00,383.85,1,Algo_Exit,28.370000000000005,1000,2.8130977832789466,79.80758411162373,1.5,78.30758411162373,1106.194918544967,7.830758411162372
16102,2020-10-31 11:00:00,388.82,2020-11-26 08:00:00,505.14,1,Algo_Exit,116.32,1000,2.5718841623373283,299.161565763078,1.5,297.661565763078,1403.856484308045,29.7661565763078
17834,2020-12-06 13:00:00,590.38,2020-12-16 13:30:00,610.66,2,Algo_Exit,-20.279999999999973,1000,1.6938243165418883,-34.35075713946945,1.5,-35.85075713946945,1368.0057271685757,-3.5850757139469454
19096,2021-01-01 20:00:00,728.82,2021-01-06 16:30:00,1174.19,1,Algo_Exit,445.37,1000,1.3720808978897394,611.0836694931533,1.5,609.5836694931533,1977.589396661729,60.95836694931533
19672,2021-01-13 20:00:00,1102.2,2021-02-22 14:00:00,1671.27,1,Algo_Exit,569.0699999999999,1000,0.9072763563781527,516.3037561241154,1.5,514.8037561241154,2492.3931527858444,51.480375612411535
23013,2021-03-24 10:30:00,1717.1,2021-04-14 21:30:00,2431.81,1,Algo_Exit,714.71,1000,0.5823772639916138,416.2308543474463,1.5,414.7308543474463,2907.124007133291,41.47308543474463
24290,2021-04-20 01:00:00,2121.37,2021-05-16 17:00:00,3539.29,1,Algo_Exit,1417.92,1000,0.47139348628480654,668.3982520729529,1.5,666.8982520729529,3574.0222592062437,66.6898252072953
26891,2021-06-13 05:30:00,2315.79,2021-06-28 15:30:00,2114.89,2,Algo_Exit,200.9000000000001,1000,0.43181808367770824,86.75225301085163,1.5,85.25225301085163,3659.2745122170954,8.525225301085163
30105,2021-08-19 04:30:00,2984.34,2021-09-07 14:30:00,3391.82,1,Algo_Exit,407.48,1000,0.33508246379433976,136.53940234691757,1.5,135.03940234691757,3794.313914564013,13.503940234691758
32709,2021-10-12 10:30:00,3462.4,2021-11-16 03:00:00,4307.42,1,Algo_Exit,845.02,1000,0.2888170055452865,244.05614602587798,1.5,242.55614602587798,4036.870060589891,24.255614602587798
36146,2021-12-23 01:00:00,3944.63,2021-12-28 17:00:00,3803.22,1,Algo_Exit,-141.4100000000003,1000,0.25350920111645453,-35.84873612987791,1.5,-37.34873612987791,3999.521324460013,-3.7348736129877915
38212,2022-02-04 02:00:00,2689.22,2022-02-12 15:00:00,2877.63,1,Algo_Exit,188.4100000000003,1000,0.371855036032753,70.06120733893111,1.5,68.56120733893111,4068.0825317989443,6.856120733893112
39910,2022-03-11 11:00:00,2615.43,2022-04-06 13:30:00,3251.58,1,Algo_Exit,636.1500000000001,1000,0.3823463063435076,243.22960278042237,1.5,241.72960278042237,4309.812134579367,24.17296027804224
42322,2022-04-30 17:00:00,2789.8,2022-05-09 18:00:00,2288.52,2,Algo_Exit,501.2800000000002,1000,0.35844863431070323,179.6831314072694,1.5,178.1831314072694,4487.995265986637,17.81831314072694
43404,2022-05-23 06:00:00,2046.25,2022-05-26 13:00:00,1765.62,1,Algo_Exit,-280.6300000000001,1000,0.48869883934025654,-137.14355528405625,1.5,-138.64355528405625,4349.35171070258,-13.864355528405625
44355,2022-06-12 01:30:00,1513.0,2022-06-18 17:30:00,962.02,2,Algo_Exit,550.98,1000,0.6609385327164574,364.16391275611375,1.5,362.66391275611375,4712.015623458694,36.266391275611376
